epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.856,0.60068,2.39679,0.89317,0.5285,1,0.70647,0.61625,0.44033,2.33259,0.78613,0.0005001,0.0005001,0.0005001
2,244.774,0.41298,0.86533,0.83199,0.91883,0.90613,0.95527,0.79452,0.50873,1.47789,0.7926,0.00102964,0.00102964,0.00102964
3,316.968,0.4048,0.69357,0.82497,0.84221,0.77109,0.8935,0.69807,0.60556,1.14532,0.82375,0.00153167,0.00153167,0.00153167
4,389.209,0.37632,0.66846,0.83397,0.94064,0.97959,0.98002,0.86814,0.42418,1.19416,0.78076,0.00154323,0.00154323,0.00154323
5,459.223,0.34741,0.62628,0.82999,0.96235,0.97586,0.9923,0.84266,0.46844,1.12668,0.79499,0.00150197,0.00150197,0.00150197
6,529.751,0.31717,0.58753,0.81762,0.99205,0.9966,0.9948,0.90658,0.37649,1.22368,0.78117,0.00146071,0.00146071,0.00146071
7,596.738,0.2987,0.53786,0.81539,0.99203,0.9966,0.995,0.9262,0.29211,0.84131,0.77388,0.00141945,0.00141945,0.00141945
8,659.942,0.27248,0.49445,0.81102,0.99722,0.99728,0.995,0.95297,0.24854,0.71951,0.77057,0.00137819,0.00137819,0.00137819
9,722.2,0.26264,0.47879,0.81076,0.99775,1,0.995,0.96413,0.25528,0.6169,0.77526,0.00133693,0.00133693,0.00133693
10,784.514,0.25211,0.45737,0.81392,0.99704,1,0.995,0.9649,0.24448,0.53328,0.77291,0.00129568,0.00129568,0.00129568
11,847.395,0.25105,0.45394,0.81354,0.99776,1,0.995,0.98767,0.21267,0.46958,0.77197,0.00125442,0.00125442,0.00125442
12,910.36,0.23565,0.42514,0.80535,0.9989,1,0.995,0.98328,0.19319,0.43311,0.77385,0.00121316,0.00121316,0.00121316
13,972.491,0.21904,0.41616,0.80854,0.99822,1,0.995,0.98818,0.1806,0.45303,0.77031,0.0011719,0.0011719,0.0011719
14,1033.71,0.21353,0.4114,0.814,0.99837,1,0.995,0.98747,0.19807,0.40531,0.77481,0.00113064,0.00113064,0.00113064
15,1095.19,0.20626,0.39235,0.80604,0.99858,1,0.995,0.9935,0.14572,0.37179,0.77071,0.00108938,0.00108938,0.00108938
16,1156.51,0.20072,0.37549,0.79464,0.99848,1,0.995,0.99295,0.15367,0.36718,0.76662,0.00104813,0.00104813,0.00104813
17,1229.35,0.19491,0.36899,0.80212,0.99895,1,0.995,0.995,0.14743,0.36819,0.76562,0.00100687,0.00100687,0.00100687
18,1310.48,0.1977,0.35924,0.80359,0.99876,1,0.995,0.99233,0.13241,0.35644,0.76097,0.00096561,0.00096561,0.00096561
19,1398.05,0.18146,0.34309,0.80582,0.99853,1,0.995,0.99489,0.16293,0.34367,0.76663,0.000924352,0.000924352,0.000924352
20,1477.4,0.19073,0.33456,0.80069,0.9975,0.99953,0.995,0.995,0.1379,0.32678,0.76534,0.000883093,0.000883093,0.000883093
21,1566.45,0.18395,0.33192,0.79768,0.99862,1,0.995,0.995,0.12266,0.33587,0.76393,0.000841835,0.000841835,0.000841835
22,1650.12,0.18758,0.33036,0.79652,0.99883,1,0.995,0.99475,0.18064,0.36742,0.76919,0.000800577,0.000800577,0.000800577
23,1727.3,0.17598,0.32772,0.80392,0.99842,1,0.995,0.99295,0.13346,0.33858,0.76159,0.000759318,0.000759318,0.000759318
